행정구역,2019년09월_전월인구수_남자인구수,2019년09월_전월인구수_여자인구수,2019년09월_전월인구수_계,2019년09월_당월인구수_남자인구수,2019년09월_당월인구수_여자인구수,2019년09월_당월인구수_계,2019년09월_인구증감_남자인구수,2019년09월_인구증감_여자인구수,2019년09월_인구증감_계,2019년10월_전월인구수_남자인구수,2019년10월_전월인구수_여자인구수,2019년10월_전월인구수_계,2019년10월_당월인구수_남자인구수,2019년10월_당월인구수_여자인구수,2019년10월_당월인구수_계,2019년10월_인구증감_남자인구수,2019년10월_인구증감_여자인구수,2019년10월_인구증감_계,2019년11월_전월인구수_남자인구수,2019년11월_전월인구수_여자인구수,2019년11월_전월인구수_계,2019년11월_당월인구수_남자인구수,2019년11월_당월인구수_여자인구수,2019년11월_당월인구수_계,2019년11월_인구증감_남자인구수,2019년11월_인구증감_여자인구수,2019년11월_인구증감_계,2019년12월_전월인구수_남자인구수,2019년12월_전월인구수_여자인구수,2019년12월_전월인구수_계,2019년12월_당월인구수_남자인구수,2019년12월_당월인구수_여자인구수,2019년12월_당월인구수_계,2019년12월_인구증감_남자인구수,2019년12월_인구증감_여자인구수,2019년12월_인구증감_계,2020년01월_전월인구수_남자인구수,2020년01월_전월인구수_여자인구수,2020년01월_전월인구수_계,2020년01월_당월인구수_남자인구수,2020년01월_당월인구수_여자인구수,2020년01월_당월인구수_계,2020년01월_인구증감_남자인구수,2020년01월_인구증감_여자인구수,2020년01월_인구증감_계,2020년02월_전월인구수_남자인구수,2020년02월_전월인구수_여자인구수,2020년02월_전월인구수_계,2020년02월_당월인구수_남자인구수,2020년02월_당월인구수_여자인구수,2020년02월_당월인구수_계,2020년02월_인구증감_남자인구수,2020년02월_인구증감_여자인구수,2020년02월_인구증감_계,2020년03월_전월인구수_남자인구수,2020년03월_전월인구수_여자인구수,2020년03월_전월인구수_계,2020년03월_당월인구수_남자인구수,2020년03월_당월인구수_여자인구수,2020년03월_당월인구수_계,2020년03월_인구증감_남자인구수,2020년03월_인구증감_여자인구수,2020년03월_인구증감_계,2020년04월_전월인구수_남자인구수,2020년04월_전월인구수_여자인구수,2020년04월_전월인구수_계,2020년04월_당월인구수_남자인구수,2020년04월_당월인구수_여자인구수,2020년04월_당월인구수_계,2020년04월_인구증감_남자인구수,2020년04월_인구증감_여자인구수,2020년04월_인구증감_계,2020년05월_전월인구수_남자인구수,2020년05월_전월인구수_여자인구수,2020년05월_전월인구수_계,2020년05월_당월인구수_남자인구수,2020년05월_당월인구수_여자인구수,2020년05월_당월인구수_계,2020년05월_인구증감_남자인구수,2020년05월_인구증감_여자인구수,2020년05월_인구증감_계,2020년06월_전월인구수_남자인구수,2020년06월_전월인구수_여자인구수,2020년06월_전월인구수_계,2020년06월_당월인구수_남자인구수,2020년06월_당월인구수_여자인구수,2020년06월_당월인구수_계,2020년06월_인구증감_남자인구수,2020년06월_인구증감_여자인구수,2020년06월_인구증감_계,2020년07월_전월인구수_남자인구수,2020년07월_전월인구수_여자인구수,2020년07월_전월인구수_계,2020년07월_당월인구수_남자인구수,2020년07월_당월인구수_여자인구수,2020년07월_당월인구수_계,2020년07월_인구증감_남자인구수,2020년07월_인구증감_여자인구수,2020년07월_인구증감_계,2020년08월_전월인구수_남자인구수,2020년08월_전월인구수_여자인구수,2020년08월_전월인구수_계,2020년08월_당월인구수_남자인구수,2020년08월_당월인구수_여자인구수,2020년08월_당월인구수_계,2020년08월_인구증감_남자인구수,2020년08월_인구증감_여자인구수,2020년08월_인구증감_계,2020년09월_전월인구수_남자인구수,2020년09월_전월인구수_여자인구수,2020년09월_전월인구수_계,2020년09월_당월인구수_남자인구수,2020년09월_당월인구수_여자인구수,2020년09월_당월인구수_계,2020년09월_인구증감_남자인구수,2020년09월_인구증감_여자인구수,2020년09월_인구증감_계,2020년10월_전월인구수_남자인구수,2020년10월_전월인구수_여자인구수,2020년10월_전월인구수_계,2020년10월_당월인구수_남자인구수,2020년10월_당월인구수_여자인구수,2020년10월_당월인구수_계,2020년10월_인구증감_남자인구수,2020년10월_인구증감_여자인구수,2020년10월_인구증감_계,2020년11월_전월인구수_남자인구수,2020년11월_전월인구수_여자인구수,2020년11월_전월인구수_계,2020년11월_당월인구수_남자인구수,2020년11월_당월인구수_여자인구수,2020년11월_당월인구수_계,2020년11월_인구증감_남자인구수,2020년11월_인구증감_여자인구수,2020년11월_인구증감_계,2020년12월_전월인구수_남자인구수,2020년12월_전월인구수_여자인구수,2020년12월_전월인구수_계,2020년12월_당월인구수_남자인구수,2020년12월_당월인구수_여자인구수,2020년12월_당월인구수_계,2020년12월_인구증감_남자인구수,2020년12월_인구증감_여자인구수,2020년12월_인구증감_계,2021년01월_전월인구수_남자인구수,2021년01월_전월인구수_여자인구수,2021년01월_전월인구수_계,2021년01월_당월인구수_남자인구수,2021년01월_당월인구수_여자인구수,2021년01월_당월인구수_계,2021년01월_인구증감_남자인구수,2021년01월_인구증감_여자인구수,2021년01월_인구증감_계,2021년02월_전월인구수_남자인구수,2021년02월_전월인구수_여자인구수,2021년02월_전월인구수_계,2021년02월_당월인구수_남자인구수,2021년02월_당월인구수_여자인구수,2021년02월_당월인구수_계,2021년02월_인구증감_남자인구수,2021년02월_인구증감_여자인구수,2021년02월_인구증감_계,2021년03월_전월인구수_남자인구수,2021년03월_전월인구수_여자인구수,2021년03월_전월인구수_계,2021년03월_당월인구수_남자인구수,2021년03월_당월인구수_여자인구수,2021년03월_당월인구수_계,2021년03월_인구증감_남자인구수,2021년03월_인구증감_여자인구수,2021년03월_인구증감_계,2021년04월_전월인구수_남자인구수,2021년04월_전월인구수_여자인구수,2021년04월_전월인구수_계,2021년04월_당월인구수_남자인구수,2021년04월_당월인구수_여자인구수,2021년04월_당월인구수_계,2021년04월_인구증감_남자인구수,2021년04월_인구증감_여자인구수,2021년04월_인구증감_계,2021년05월_전월인구수_남자인구수,2021년05월_전월인구수_여자인구수,2021년05월_전월인구수_계,2021년05월_당월인구수_남자인구수,2021년05월_당월인구수_여자인구수,2021년05월_당월인구수_계,2021년05월_인구증감_남자인구수,2021년05월_인구증감_여자인구수,2021년05월_인구증감_계,2021년06월_전월인구수_남자인구수,2021년06월_전월인구수_여자인구수,2021년06월_전월인구수_계,2021년06월_당월인구수_남자인구수,2021년06월_당월인구수_여자인구수,2021년06월_당월인구수_계,2021년06월_인구증감_남자인구수,2021년06월_인구증감_여자인구수,2021년06월_인구증감_계,2021년07월_전월인구수_남자인구수,2021년07월_전월인구수_여자인구수,2021년07월_전월인구수_계,2021년07월_당월인구수_남자인구수,2021년07월_당월인구수_여자인구수,2021년07월_당월인구수_계,2021년07월_인구증감_남자인구수,2021년07월_인구증감_여자인구수,2021년07월_인구증감_계,2021년08월_전월인구수_남자인구수,2021년08월_전월인구수_여자인구수,2021년08월_전월인구수_계,2021년08월_당월인구수_남자인구수,2021년08월_당월인구수_여자인구수,2021년08월_당월인구수_계,2021년08월_인구증감_남자인구수,2021년08월_인구증감_여자인구수,2021년08월_인구증감_계,2021년09월_전월인구수_남자인구수,2021년09월_전월인구수_여자인구수,2021년09월_전월인구수_계,2021년09월_당월인구수_남자인구수,2021년09월_당월인구수_여자인구수,2021년09월_당월인구수_계,2021년09월_인구증감_남자인구수,2021년09월_인구증감_여자인구수,2021년09월_인구증감_계
경기도 의정부시 (4115000000),"222,583","229,260","451,843","222,617","229,229","451,846",34,-31,3,"222,617","229,229","451,846","222,605","229,236","451,841",-12,7,-5,"222,605","229,236","451,841","222,627","229,206","451,833",22,-30,-8,"222,627","229,206","451,833","222,590","229,278","451,868",-37,72,35,"222,590","229,278","451,868","222,611","229,265","451,876",21,-13,8,"222,611","229,265","451,876","223,110","229,755","452,865",499,490,989,"223,110","229,755","452,865","223,534","230,145","453,679",424,390,814,"223,534","230,145","453,679","223,765","230,457","454,222",231,312,543,"223,765","230,457","454,222","224,100","230,759","454,859",335,302,637,"224,100","230,759","454,859","224,416","231,104","455,520",316,345,661,"224,416","231,104","455,520","224,479","231,192","455,671",63,88,151,"224,479","231,192","455,671","224,985","231,675","456,660",506,483,989,"224,985","231,675","456,660","225,715","232,558","458,273",730,883,"1,613","225,715","232,558","458,273","226,232","233,186","459,418",517,628,"1,145","226,232","233,186","459,418","226,656","233,734","460,390",424,548,972,"226,656","233,734","460,390","227,342","234,368","461,710",686,634,"1,320","227,342","234,368","461,710","227,731","234,768","462,499",389,400,789,"227,731","234,768","462,499","227,725","234,894","462,619",-6,126,120,"227,725","234,894","462,619","227,191","233,952","461,143",-534,-942,"-1,476","227,191","233,952","461,143","227,112","233,965","461,077",-79,13,-66,"227,112","233,965","461,077","227,073","233,850","460,923",-39,-115,-154,"227,073","233,850","460,923","227,380","234,143","461,523",307,293,600,"227,380","234,143","461,523","227,975","234,613","462,588",595,470,"1,065","227,975","234,613","462,588","228,349","235,024","463,373",374,411,785,"228,349","235,024","463,373","228,451","235,111","463,562",102,87,189
경기도 안양시 (4117000000),"282,861","288,372","571,233","282,458","288,086","570,544",-403,-286,-689,"282,458","288,086","570,544","282,129","287,623","569,752",-329,-463,-792,"282,129","287,623","569,752","281,682","287,363","569,045",-447,-260,-707,"281,682","287,363","569,045","280,652","286,392","567,044","-1,030",-971,"-2,001","280,652","286,392","567,044","279,857","285,495","565,352",-795,-897,"-1,692","279,857","285,495","565,352","278,678","284,388","563,066","-1,179","-1,107","-2,286","278,678","284,388","563,066","278,194","283,772","561,966",-484,-616,"-1,100","278,194","283,772","561,966","277,727","283,342","561,069",-467,-430,-897,"277,727","283,342","561,069","276,997","282,795","559,792",-730,-547,"-1,277","276,997","282,795","559,792","276,140","281,877","558,017",-857,-918,"-1,775","276,140","281,877","558,017","275,318","281,243","556,561",-822,-634,"-1,456","275,318","281,243","556,561","274,506","280,351","554,857",-812,-892,"-1,704","274,506","280,351","554,857","273,677","279,609","553,286",-829,-742,"-1,571","273,677","279,609","553,286","273,030","279,124","552,154",-647,-485,"-1,132","273,030","279,124","552,154","272,550","278,746","551,296",-480,-378,-858,"272,550","278,746","551,296","271,936","278,091","550,027",-614,-655,"-1,269","271,936","278,091","550,027","271,760","277,970","549,730",-176,-121,-297,"271,760","277,970","549,730","272,392","278,547","550,939",632,577,"1,209","272,392","278,547","550,939","272,569","278,567","551,136",177,20,197,"272,569","278,567","551,136","272,626","278,563","551,189",57,-4,53,"272,626","278,563","551,189","272,348","278,402","550,750",-278,-161,-439,"272,348","278,402","550,750","271,857","278,046","549,903",-491,-356,-847,"271,857","278,046","549,903","271,356","277,604","548,960",-501,-442,-943,"271,356","277,604","548,960","271,131","277,360","548,491",-225,-244,-469,"271,131","277,360","548,491","270,954","277,120","548,074",-177,-240,-417
경기도 안양시 만안구 (4117100000),"123,903","123,418","247,321","123,643","123,164","246,807",-260,-254,-514,"123,643","123,164","246,807","123,362","122,799","246,161",-281,-365,-646,"123,362","122,799","246,161","123,020","122,570","245,590",-342,-229,-571,"123,020","122,570","245,590","122,326","121,909","244,235",-694,-661,"-1,355","122,326","121,909","244,235","121,839","121,337","243,176",-487,-572,"-1,059","121,839","121,337","243,176","121,300","120,807","242,107",-539,-530,"-1,069","121,300","120,807","242,107","121,227","120,689","241,916",-73,-118,-191,"121,227","120,689","241,916","121,239","120,760","241,999",12,71,83,"121,239","120,760","241,999","121,248","120,857","242,105",9,97,106,"121,248","120,857","242,105","121,115","120,715","241,830",-133,-142,-275,"121,115","120,715","241,830","120,904","120,574","241,478",-211,-141,-352,"120,904","120,574","241,478","120,692","120,254","240,946",-212,-320,-532,"120,692","120,254","240,946","120,500","120,104","240,604",-192,-150,-342,"120,500","120,104","240,604","120,356","120,008","240,364",-144,-96,-240,"120,356","120,008","240,364","120,116","119,831","239,947",-240,-177,-417,"120,116","119,831","239,947","119,864","119,549","239,413",-252,-282,-534,"119,864","119,549","239,413","119,689","119,381","239,070",-175,-168,-343,"119,689","119,381","239,070","119,191","118,940","238,131",-498,-441,-939,"119,191","118,940","238,131","119,096","118,783","237,879",-95,-157,-252,"119,096","118,783","237,879","119,297","118,934","238,231",201,151,352,"119,297","118,934","238,231","119,314","119,017","238,331",17,83,100,"119,314","119,017","238,331","119,318","119,073","238,391",4,56,60,"119,318","119,073","238,391","119,435","119,204","238,639",117,131,248,"119,435","119,204","238,639","119,678","119,393","239,071",243,189,432,"119,678","119,393","239,071","119,850","119,506","239,356",172,113,285
경기도 안양시 동안구 (4117300000),"158,958","164,954","323,912","158,815","164,922","323,737",-143,-32,-175,"158,815","164,922","323,737","158,767","164,824","323,591",-48,-98,-146,"158,767","164,824","323,591","158,662","164,793","323,455",-105,-31,-136,"158,662","164,793","323,455","158,326","164,483","322,809",-336,-310,-646,"158,326","164,483","322,809","158,018","164,158","322,176",-308,-325,-633,"158,018","164,158","322,176","157,378","163,581","320,959",-640,-577,"-1,217","157,378","163,581","320,959","156,967","163,083","320,050",-411,-498,-909,"156,967","163,083","320,050","156,488","162,582","319,070",-479,-501,-980,"156,488","162,582","319,070","155,749","161,938","317,687",-739,-644,"-1,383","155,749","161,938","317,687","155,025","161,162","316,187",-724,-776,"-1,500","155,025","161,162","316,187","154,414","160,669","315,083",-611,-493,"-1,104","154,414","160,669","315,083","153,814","160,097","313,911",-600,-572,"-1,172","153,814","160,097","313,911","153,177","159,505","312,682",-637,-592,"-1,229","153,177","159,505","312,682","152,674","159,116","311,790",-503,-389,-892,"152,674","159,116","311,790","152,434","158,915","311,349",-240,-201,-441,"152,434","158,915","311,349","152,072","158,542","310,614",-362,-373,-735,"152,072","158,542","310,614","152,071","158,589","310,660",-1,47,46,"152,071","158,589","310,660","153,201","159,607","312,808","1,130","1,018","2,148","153,201","159,607","312,808","153,473","159,784","313,257",272,177,449,"153,473","159,784","313,257","153,329","159,629","312,958",-144,-155,-299,"153,329","159,629","312,958","153,034","159,385","312,419",-295,-244,-539,"153,034","159,385","312,419","152,539","158,973","311,512",-495,-412,-907,"152,539","158,973","311,512","151,921","158,400","310,321",-618,-573,"-1,191","151,921","158,400","310,321","151,453","157,967","309,420",-468,-433,-901,"151,453","157,967","309,420","151,104","157,614","308,718",-349,-353,-702
경기도 부천시 (4119000000),"414,815","419,461","834,276","414,250","418,968","833,218",-565,-493,"-1,058","414,250","418,968","833,218","413,450","418,251","831,701",-800,-717,"-1,517","413,450","418,251","831,701","412,895","417,916","830,811",-555,-335,-890,"412,895","417,916","830,811","412,500","417,496","829,996",-395,-420,-815,"412,500","417,496","829,996","411,912","417,035","828,947",-588,-461,"-1,049","411,912","417,035","828,947","411,044","416,330","827,374",-868,-705,"-1,573","411,044","416,330","827,374","410,853","416,279","827,132",-191,-51,-242,"410,853","416,279","827,132","410,678","416,167","826,845",-175,-112,-287,"410,678","416,167","826,845","410,257","415,836","826,093",-421,-331,-752,"410,257","415,836","826,093","409,982","415,718","825,700",-275,-118,-393,"409,982","415,718","825,700","409,371","415,304","824,675",-611,-414,"-1,025","409,371","415,304","824,675","408,411","414,454","822,865",-960,-850,"-1,810","408,411","414,454","822,865","407,881","414,119","822,000",-530,-335,-865,"407,881","414,119","822,000","407,401","413,667","821,068",-480,-452,-932,"407,401","413,667","821,068","406,839","413,151","819,990",-562,-516,"-1,078","406,839","413,151","819,990","406,023","412,360","818,383",-816,-791,"-1,607","406,023","412,360","818,383","405,464","411,985","817,449",-559,-375,-934,"405,464","411,985","817,449","404,763","411,324","816,087",-701,-661,"-1,362","404,763","411,324","816,087","403,374","409,804","813,178","-1,389","-1,520","-2,909","403,374","409,804","813,178","402,851","409,307","812,158",-523,-497,"-1,020","402,851","409,307","812,158","402,337","408,888","811,225",-514,-419,-933,"402,337","408,888","811,225","402,000","408,742","810,742",-337,-146,-483,"402,000","408,742","810,742","401,645","408,424","810,069",-355,-318,-673,"401,645","408,424","810,069","401,353","408,206","809,559",-292,-218,-510,"401,353","408,206","809,559","401,051","408,032","809,083",-302,-174,-476
경기도 광명시 (4121000000),"158,133","161,766","319,899","157,759","161,446","319,205",-374,-320,-694,"157,759","161,446","319,205","157,157","160,864","318,021",-602,-582,"-1,184","157,157","160,864","318,021","156,721","160,423","317,144",-436,-441,-877,"156,721","160,423","317,144","156,405","160,147","316,552",-316,-276,-592,"156,405","160,147","316,552","156,095","159,825","315,920",-310,-322,-632,"156,095","159,825","315,920","156,129","159,996","316,125",34,171,205,"156,129","159,996","316,125","156,128","160,092","316,220",-1,96,95,"156,128","160,092","316,220","155,900","159,845","315,745",-228,-247,-475,"155,900","159,845","315,745","155,249","159,164","314,413",-651,-681,"-1,332","155,249","159,164","314,413","154,425","158,349","312,774",-824,-815,"-1,639","154,425","158,349","312,774","153,575","157,544","311,119",-850,-805,"-1,655","153,575","157,544","311,119","152,384","156,294","308,678","-1,191","-1,250","-2,441","152,384","156,294","308,678","150,994","154,842","305,836","-1,390","-1,452","-2,842","150,994","154,842","305,836","149,478","153,283","302,761","-1,516","-1,559","-3,075","149,478","153,283","302,761","148,104","151,988","300,092","-1,374","-1,295","-2,669","148,104","151,988","300,092","147,278","151,321","298,599",-826,-667,"-1,493","147,278","151,321","298,599","146,858","150,890","297,748",-420,-431,-851,"146,858","150,890","297,748","146,369","150,416","296,785",-489,-474,-963,"146,369","150,416","296,785","145,897","149,853","295,750",-472,-563,"-1,035","145,897","149,853","295,750","145,859","149,831","295,690",-38,-22,-60,"145,859","149,831","295,690","145,900","149,842","295,742",41,11,52,"145,900","149,842","295,742","145,948","149,904","295,852",48,62,110,"145,948","149,904","295,852","145,781","149,779","295,560",-167,-125,-292,"145,781","149,779","295,560","145,603","149,732","295,335",-178,-47,-225,"145,603","149,732","295,335","145,398","149,497","294,895",-205,-235,-440
경기도 평택시 (4122000000),"260,106","245,711","505,817","261,089","246,532","507,621",983,821,"1,804","261,089","246,532","507,621","262,086","247,443","509,529",997,911,"1,908","262,086","247,443","509,529","263,039","248,190","511,229",953,747,"1,700","263,039","248,190","511,229","264,012","249,015","513,027",973,825,"1,798","264,012","249,015","513,027","265,037","249,839","514,876","1,025",824,"1,849","265,037","249,839","514,876","266,206","250,881","517,087","1,169","1,042","2,211","266,206","250,881","517,087","267,360","251,764","519,124","1,154",883,"2,037","267,360","251,764","519,124","268,331","252,318","520,649",971,554,"1,525","268,331","252,318","520,649","269,109","253,002","522,111",778,684,"1,462","269,109","253,002","522,111","270,183","253,698","523,881","1,074",696,"1,770","270,183","253,698","523,881","271,051","254,327","525,378",868,629,"1,497","271,051","254,327","525,378","271,992","255,174","527,166",941,847,"1,788","271,992","255,174","527,166","273,077","256,063","529,140","1,085",889,"1,974","273,077","256,063","529,140","274,461","257,194","531,655","1,384","1,131","2,515","274,461","257,194","531,655","275,968","258,375","534,343","1,507","1,181","2,688","275,968","258,375","534,343","277,617","259,690","537,307","1,649","1,315","2,964","277,617","259,690","537,307","279,690","261,239","540,929","2,073","1,549","3,622","279,690","261,239","540,929","281,521","262,564","544,085","1,831","1,325","3,156","281,521","262,564","544,085","282,242","262,126","544,368",721,-438,283,"282,242","262,126","544,368","283,450","262,704","546,154","1,208",578,"1,786","283,450","262,704","546,154","284,559","263,572","548,131","1,109",868,"1,977","284,559","263,572","548,131","285,580","264,321","549,901","1,021",749,"1,770","285,580","264,321","549,901","286,588","265,015","551,603","1,008",694,"1,702","286,588","265,015","551,603","288,302","266,209","554,511","1,714","1,194","2,908","288,302","266,209","554,511","290,020","267,430","557,450","1,718","1,221","2,939"
경기도 동두천시 (4125000000),"47,399","47,611","95,010","47,332","47,580","94,912",-67,-31,-98,"47,332","47,580","94,912","47,335","47,606","94,941",3,26,29,"47,335","47,606","94,941","47,278","47,501","94,779",-57,-105,-162,"47,278","47,501","94,779","47,308","47,460","94,768",30,-41,-11,"47,308","47,460","94,768","47,276","47,443","94,719",-32,-17,-49,"47,276","47,443","94,719","47,156","47,296","94,452",-120,-147,-267,"47,156","47,296","94,452","47,048","47,183","94,231",-108,-113,-221,"47,048","47,183","94,231","47,015","47,176","94,191",-33,-7,-40,"47,015","47,176","94,191","46,946","47,151","94,097",-69,-25,-94,"46,946","47,151","94,097","46,951","47,192","94,143",5,41,46,"46,951","47,192","94,143","46,904","47,081","93,985",-47,-111,-158,"46,904","47,081","93,985","46,912","47,056","93,968",8,-25,-17,"46,912","47,056","93,968","46,863","47,038","93,901",-49,-18,-67,"46,863","47,038","93,901","46,846","47,069","93,915",-17,31,14,"46,846","47,069","93,915","46,959","47,240","94,199",113,171,284,"46,959","47,240","94,199","47,038","47,315","94,353",79,75,154,"47,038","47,315","94,353","47,077","47,366","94,443",39,51,90,"47,077","47,366","94,443","47,005","47,313","94,318",-72,-53,-125,"47,005","47,313","94,318","46,621","46,730","93,351",-384,-583,-967,"46,621","46,730","93,351","46,610","46,679","93,289",-11,-51,-62,"46,610","46,679","93,289","46,606","46,686","93,292",-4,7,3,"46,606","46,686","93,292","46,626","46,728","93,354",20,42,62,"46,626","46,728","93,354","46,675","46,772","93,447",49,44,93,"46,675","46,772","93,447","46,627","46,787","93,414",-48,15,-33,"46,627","46,787","93,414","46,661","46,818","93,479",34,31,65
경기도 안산시 (4127000000),"336,414","319,484","655,898","335,716","318,952","654,668",-698,-532,"-1,230","335,716","318,952","654,668","334,753","318,082","652,835",-963,-870,"-1,833","334,753","318,082","652,835","334,206","317,571","651,777",-547,-511,"-1,058","334,206","317,571","651,777","333,766","317,152","650,918",-440,-419,-859,"333,766","317,152","650,918","333,471","317,088","650,559",-295,-64,-359,"333,471","317,088","650,559","333,839","317,372","651,211",368,284,652,"333,839","317,372","651,211","334,625","318,138","652,763",786,766,"1,552","334,625","318,138","652,763","335,033","318,542","653,575",408,404,812,"335,033","318,542","653,575","335,253","318,794","654,047",220,252,472,"335,253","318,794","654,047","335,477","318,973","654,450",224,179,403,"335,477","318,973","654,450","335,259","318,834","654,093",-218,-139,-357,"335,259","318,834","654,093","335,082","318,651","653,733",-177,-183,-360,"335,082","318,651","653,733","334,987","318,518","653,505",-95,-133,-228,"334,987","318,518","653,505","334,914","318,469","653,383",-73,-49,-122,"334,914","318,469","653,383","335,365","318,845","654,210",451,376,827,"335,365","318,845","654,210","335,804","319,111","654,915",439,266,705,"335,804","319,111","654,915","336,265","319,468","655,733",461,357,818,"336,265","319,468","655,733","336,325","319,375","655,700",60,-93,-33,"336,325","319,375","655,700","336,542","319,317","655,859",217,-58,159,"336,542","319,317","655,859","336,479","319,337","655,816",-63,20,-43,"336,479","319,337","655,816","336,303","319,252","655,555",-176,-85,-261,"336,303","319,252","655,555","336,051","319,064","655,115",-252,-188,-440,"336,051","319,064","655,115","335,750","318,928","654,678",-301,-136,-437,"335,750","318,928","654,678","335,701","318,776","654,477",-49,-152,-201,"335,701","318,776","654,477","335,574","318,696","654,270",-127,-80,-207
경기도 안산시 상록구 (4127100000),"178,005","170,955","348,960","177,324","170,338","347,662",-681,-617,"-1,298","177,324","170,338","347,662","176,595","169,648","346,243",-729,-690,"-1,419","176,595","169,648","346,243","176,144","169,207","345,351",-451,-441,-892,"176,144","169,207","345,351","175,789","168,824","344,613",-355,-383,-738,"175,789","168,824","344,613","175,550","168,695","344,245",-239,-129,-368,"175,550","168,695","344,245","175,761","168,924","344,685",211,229,440,"175,761","168,924","344,685","177,110","170,224","347,334","1,349","1,300","2,649","177,110","170,224","347,334","177,678","170,834","348,512",568,610,"1,178","177,678","170,834","348,512","178,049","171,181","349,230",371,347,718,"178,049","171,181","349,230","178,205","171,309","349,514",156,128,284,"178,205","171,309","349,514","178,010","171,179","349,189",-195,-130,-325,"178,010","171,179","349,189","177,865","171,033","348,898",-145,-146,-291,"177,865","171,033","348,898","177,767","170,868","348,635",-98,-165,-263,"177,767","170,868","348,635","177,584","170,681","348,265",-183,-187,-370,"177,584","170,681","348,265","178,646","171,696","350,342","1,062","1,015","2,077","178,646","171,696","350,342","179,452","172,436","351,888",806,740,"1,546","179,452","172,436","351,888","180,008","172,889","352,897",556,453,"1,009","180,008","172,889","352,897","180,089","172,873","352,962",81,-16,65,"180,089","172,873","352,962","180,441","173,067","353,508",352,194,546,"180,441","173,067","353,508","180,526","173,176","353,702",85,109,194,"180,526","173,176","353,702","180,419","173,156","353,575",-107,-20,-127,"180,419","173,156","353,575","180,215","172,959","353,174",-204,-197,-401,"180,215","172,959","353,174","180,042","172,856","352,898",-173,-103,-276,"180,042","172,856","352,898","179,726","172,440","352,166",-316,-416,-732,"179,726","172,440","352,166","179,537","172,263","351,800",-189,-177,-366
경기도 안산시 단원구 (4127300000),"158,409","148,529","306,938","158,392","148,614","307,006",-17,85,68,"158,392","148,614","307,006","158,158","148,434","306,592",-234,-180,-414,"158,158","148,434","306,592","158,062","148,364","306,426",-96,-70,-166,"158,062","148,364","306,426","157,977","148,328","306,305",-85,-36,-121,"157,977","148,328","306,305","157,921","148,393","306,314",-56,65,9,"157,921","148,393","306,314","158,078","148,448","306,526",157,55,212,"158,078","148,448","306,526","157,515","147,914","305,429",-563,-534,"-1,097","157,515","147,914","305,429","157,355","147,708","305,063",-160,-206,-366,"157,355","147,708","305,063","157,204","147,613","304,817",-151,-95,-246,"157,204","147,613","304,817","157,272","147,664","304,936",68,51,119,"157,272","147,664","304,936","157,249","147,655","304,904",-23,-9,-32,"157,249","147,655","304,904","157,217","147,618","304,835",-32,-37,-69,"157,217","147,618","304,835","157,220","147,650","304,870",3,32,35,"157,220","147,650","304,870","157,330","147,788","305,118",110,138,248,"157,330","147,788","305,118","156,719","147,149","303,868",-611,-639,"-1,250","156,719","147,149","303,868","156,352","146,675","303,027",-367,-474,-841,"156,352","146,675","303,027","156,257","146,579","302,836",-95,-96,-191,"156,257","146,579","302,836","156,236","146,502","302,738",-21,-77,-98,"156,236","146,502","302,738","156,101","146,250","302,351",-135,-252,-387,"156,101","146,250","302,351","155,953","146,161","302,114",-148,-89,-237,"155,953","146,161","302,114","155,884","146,096","301,980",-69,-65,-134,"155,884","146,096","301,980","155,836","146,105","301,941",-48,9,-39,"155,836","146,105","301,941","155,708","146,072","301,780",-128,-33,-161,"155,708","146,072","301,780","155,975","146,336","302,311",267,264,531,"155,975","146,336","302,311","156,037","146,433","302,470",62,97,159
